index,Agent1 Ego Dynamics s,Agent1 Ego Dynamics d,Agent1 Ego Dynamics mu,Agent1 Ego Dynamics speed,Agent1 Ego Dynamics steering,Agent1 Ego Dynamics kappa,Agent1 Ego Dynamics tire velocity (action),Agent1 Ego Dynamics Acceleration (action),Agent2 Ego Dynamics s,Agent2 Ego Dynamics d,Agent2 Ego Dynamics mu,Agent2 Ego Dynamics speed,Agent2 Ego Dynamics steering,Agent2 Ego Dynamics kappa,Agent2 Ego Dynamics tire velocity (action),Agent2 Ego Dynamics Acceleration (action)
79,56.12756430919352,-0.341824765974928,0.1146808423207644,8.084925585240123,-0.0880103271687402,0.0019251137760329,0.0453075766563415,-0.0641059875488281,21.252862164996944,-1.0204867619680973,-3.258230812870861e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
80,56.933650858693866,-0.2916371658974113,0.0956975193927749,8.07851498648524,-0.0834795695031061,0.0018898431353588,0.0807304680347442,-0.043344497680664,21.252862173248715,-1.0204867619680973,-3.299474240855781e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
81,57.7399495793905,-0.2537247799037309,0.0780155590360883,8.074180536717174,-0.0754065226996316,0.0021177777536123,0.1020243018865585,-0.0441360473632812,21.25286218150049,-1.0204867619680973,-3.340717668840701e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
82,58.54623976571256,-0.2257432702651331,0.0620637200947363,8.069766931980846,-0.0652040925109758,0.0022274230299569,0.1396166533231735,0.0234031677246093,21.252862189752257,-1.0204867619680973,-3.381961096825621e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
83,59.35266396734094,-0.2048405322669678,0.0484569081935446,8.072107248753307,-0.0512424271786584,0.0023509443081395,0.1505424827337265,0.0886821746826171,21.252862198004028,-1.0204867619680973,-3.423204524810541e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
84,60.15971138943963,-0.1880135506962325,0.0374287055558101,8.080975466221568,-0.0361881789052858,0.0027930792783653,0.127621591091156,0.016183853149414,21.2528622062558,-1.0204867619680973,-3.464447952795461e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
85,60.96735664609777,-0.1733216237852491,0.0291929804665115,8.08259385153651,-0.0234260197961702,0.0027243479525033,0.1062207072973251,0.0042152404785156,21.25286221450757,-1.0204867619680973,-3.5056913807803813e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
86,61.77515578987448,-0.1595711567416402,0.0233443901362276,8.083015375584361,-0.0128039490664377,0.0027294387574758,0.0834220349788665,0.0049781799316406,21.25286222275934,-1.0204867619680973,-3.5469348087653022e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
89,64.19903075629165,-0.1164986309489761,0.0160632661021229,8.084321909397838,0.0062632579123602,0.0027945627106398,0.0266510806977748,0.0170135498046875,21.252862247514653,-1.0204867619680973,-3.6706650927200622e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
90,65.00719340392494,-0.1006359364729807,0.0157744920945214,8.086023264378307,0.0089283659821377,0.0019355489405339,0.0059788115322589,0.0227546691894531,21.252862255766424,-1.0204867619680973,-3.711908520704982e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
91,65.8155859114077,-0.0840627533096821,0.0159726106956953,8.088298731297252,0.0095262471353635,0.0021421020405924,-0.0187713839113712,-0.0224018096923828,21.252862264018194,-1.0204867619680973,-3.7531519486899025e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
92,66.62400447438927,-0.0676802389293493,0.0159569627702309,8.086058550328014,0.0076491087442264,0.0017337091561436,-0.037345215678215,-0.0212383270263671,21.252862272269965,-1.0204867619680973,-3.794395376674822e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
93,67.43229042685218,-0.0524340642450252,0.0159761876470739,8.083934717625377,0.0039145871764049,0.001154731708817,-0.0440962985157966,-0.0042724609375,21.252862280521736,-1.0204867619680973,-3.835638804659742e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
94,68.2405149814445,-0.0389409677696796,0.0155605260675896,8.083507471531627,-0.0004950426751746,0.0008493008724062,-0.0338280275464057,-0.0031089782714843,21.252862288773507,-1.0204867619680973,-3.8768822326446624e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
95,69.0487494122824,-0.0276502738550029,0.0144679767864882,8.083196573704479,-0.0038778454298152,0.0007434238610238,-0.035188190639019,-0.0026798248291015,21.25286229702528,-1.0204867619680973,-3.918125660629581e-09,8.293857485778051e-08,1.4304552033169778e-10,0.0049981316388932,0.0,0.0
